                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.2492,                0.81674,                0.99263,                 0.5492,                0.40253,                0.44066,                0.25701,                 1.1573,                0.79538,                 0.9695,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.2441,                0.81294,                0.99307,                 0.5481,                0.40403,                0.44129,                0.25764,                  1.157,                0.79518,                0.96933,               0.003763,               0.003763,               0.003763
                    128,                   1.24,                0.80572,                 0.9893,                0.54777,                0.40373,                0.44161,                0.25803,                  1.157,                0.79497,                0.96924,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.2448,                0.81293,                0.99241,                0.54971,                0.40292,                0.44141,                0.25775,                 1.1572,                0.79504,                0.96921,               0.003664,               0.003664,               0.003664
                    130,                 1.2462,                0.80946,                0.99088,                0.55026,                0.40293,                0.44189,                0.25808,                 1.1573,                0.79514,                0.96918,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.2425,                 0.8101,                0.99121,                0.55068,                0.40332,                0.44215,                0.25836,                 1.1572,                0.79493,                 0.9691,               0.003565,               0.003565,               0.003565
                    132,                 1.2404,                0.80824,                0.98933,                0.54478,                0.40477,                0.44212,                0.25841,                 1.1572,                0.79496,                0.96908,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.2409,                0.80439,                0.99163,                0.54166,                0.40545,                0.44216,                0.25838,                 1.1567,                0.79478,                0.96899,               0.003466,               0.003466,               0.003466
                    134,                 1.2373,                0.80252,                0.99044,                0.54178,                0.40678,                0.44257,                0.25833,                 1.1568,                0.79497,                  0.969,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.2347,                0.80157,                0.98914,                0.54058,                0.40694,                0.44271,                0.25853,                 1.1566,                0.79452,                 0.9689,               0.003367,               0.003367,               0.003367
                    136,                 1.2339,                0.80121,                0.98943,                0.53858,                0.40622,                0.44283,                0.25855,                 1.1566,                0.79499,                0.96887,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.2351,                 0.8006,                0.98811,                 0.5379,                0.40624,                 0.4428,                0.25949,                 1.1566,                0.79493,                0.96885,               0.003268,               0.003268,               0.003268
                    138,                 1.2299,                0.79609,                0.98676,                0.53841,                 0.4075,                0.44278,                0.25928,                 1.1566,                 0.7949,                 0.9689,              0.0032185,              0.0032185,              0.0032185
